seed,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
20260724,corridor held-out,bi_corr_400_b_04,interaction_mlp,0.18813824506612883,0.06378272587807908,0.08189068527304462,12.143266730012718,0.8899966782511971,6000.0
20260724,corridor held-out,bi_corr_400_b_04,tensor_residual,0.19310866432712295,0.06507703712585927,0.08270063346516285,12.525380626334027,0.884107550470375,6000.0
20260724,corridor held-out,bi_corr_400_b_04,gel_ped,0.18836109060687278,0.06379314877514479,0.08166827992191973,12.1504440254639,0.8897359309724704,6000.0
20260724,corridor held-out,bi_corr_400_b_06,interaction_mlp,0.1917691260624764,0.06520728412622326,0.08353162995739707,16.14444129812486,0.817207676174419,6000.0
20260724,corridor held-out,bi_corr_400_b_06,tensor_residual,0.19709768988243462,0.06648788714813153,0.08587861170368065,16.179140639233268,0.8069082831373818,6000.0
20260724,corridor held-out,bi_corr_400_b_06,gel_ped,0.19127565036596025,0.06488930599030192,0.08407193267811418,15.75944930807039,0.818147217503491,6000.0
20260724,corridor held-out,bi_corr_400_b_10,interaction_mlp,0.1693779572652989,0.05743655754069149,0.0711676439049639,12.878893708333285,0.8786650026912185,6000.0
20260724,corridor held-out,bi_corr_400_b_10,tensor_residual,0.170244592544703,0.05744396137560509,0.07199382115241898,12.72364794879094,0.8774201866222796,6000.0
20260724,corridor held-out,bi_corr_400_b_10,gel_ped,0.16767159352138664,0.05683750608710158,0.0713752347871567,12.783194121574608,0.8810974176781088,6000.0
20260724,altered geometry,bi_corr_400_a_04,interaction_mlp,0.18415355767685776,0.062270906498013694,0.08246965246998567,15.953354833268962,0.8127224331287739,6000.0
20260724,altered geometry,bi_corr_400_a_04,tensor_residual,0.1847757379169695,0.062128013898086455,0.08200147958688778,16.023431730899205,0.8114548253713852,6000.0
20260724,altered geometry,bi_corr_400_a_04,gel_ped,0.18090486404740497,0.06112958947579762,0.08177232264282162,15.713190297625326,0.8192717599076622,6000.0
20260724,altered geometry,bi_corr_400_a_05,interaction_mlp,0.17725345387819033,0.06029547651300831,0.07728352045430675,15.980549487052347,0.8015579956959377,6000.0
20260724,altered geometry,bi_corr_400_a_05,tensor_residual,0.17770832533604372,0.06039642727088565,0.07692706556838512,16.344384998952314,0.8005381969552772,6000.0
20260724,altered geometry,bi_corr_400_a_05,gel_ped,0.17528931803262984,0.059634225927458054,0.07666205640632688,15.88289253028715,0.8059314795600316,6000.0
20260724,altered geometry,bi_corr_400_b_08,interaction_mlp,0.18593329634098194,0.06332629302590241,0.08301793693350405,17.358848597239984,0.7643292744041434,6000.0
20260724,altered geometry,bi_corr_400_b_08,tensor_residual,0.1894660340228499,0.06401262154967256,0.08398228623232541,17.584339888786815,0.7552886966509735,6000.0
20260724,altered geometry,bi_corr_400_b_08,gel_ped,0.18430691141429684,0.06249747702665374,0.08208105912026262,17.450013745458307,0.7684341332058346,6000.0
20260724,crossing external,crossing_90_d_1,interaction_mlp,0.37857914472061366,0.13104178421874346,0.21718969986024028,8.69108844389411,0.8856811843033979,6000.0
20260724,crossing external,crossing_90_d_1,tensor_residual,0.3399855327874754,0.11647579391189772,0.16939945607888024,8.45391715555843,0.9078012104285073,6000.0
20260724,crossing external,crossing_90_d_1,gel_ped,0.35156858229913346,0.12126911627394443,0.18903998865059976,8.370167102825594,0.9014119082572101,6000.0
20260724,crossing external,crossing_90_d_2,interaction_mlp,0.39482543005416665,0.13669948854117842,0.23889900460683652,6.8852598736301385,0.903192903311941,6000.0
20260724,crossing external,crossing_90_d_2,tensor_residual,0.34949735316047215,0.11836796677041637,0.17990013443227432,6.533451258892132,0.9241449072916268,6000.0
20260724,crossing external,crossing_90_d_2,gel_ped,0.362671507363447,0.12409449093898593,0.20346592103046382,6.49745945029259,0.9183184752649798,6000.0
20260724,crossing external,crossing_90_d_3,interaction_mlp,0.3738915873114221,0.13019813394751809,0.21356263209087895,6.082447027445591,0.912244719900866,6000.0
20260724,crossing external,crossing_90_d_3,tensor_residual,0.33574112829863906,0.11418513630597327,0.16284007880785703,5.771270607615483,0.9292394889293034,6000.0
20260724,crossing external,crossing_90_d_3,gel_ped,0.346077142545559,0.11894713440798284,0.18327562259104518,5.745977974124434,0.9248156062198784,6000.0
20260724,crossing external,crossing_90_d_5,interaction_mlp,0.372614635554099,0.1286014767142564,0.1981082512972411,9.250765840514426,0.8682690608312266,6000.0
