horizon_s,model,run,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
0.8,persistence,bi_corr_400_b_04,0.22450006011705112,0.15569857769494783,0.07834990030651048,18.872948627352564,0.8264902966344788,6000.0
0.8,persistence,bi_corr_400_b_06,0.22060530722298002,0.15301058833361386,0.0739675233809267,26.653549364328523,0.6687399473192857,6000.0
0.8,persistence,bi_corr_400_b_10,0.22049359829815374,0.1526869609429891,0.06536386948483665,23.537155471138114,0.7592848605754628,6000.0
0.8,isotropic_social_force,bi_corr_400_a_03,0.21769753129123826,0.15185729769161416,0.07106734933774253,23.741615155140195,0.742364780230589,6000.0
0.8,isotropic_social_force,bi_corr_400_b_02,0.1793585765570184,0.11646013512534109,0.0800705417673812,3.698326181934502,0.979387760443031,4248.0
0.8,isotropic_social_force,bi_corr_400_b_04,0.21519259304780808,0.14928000921134574,0.07616764690186555,16.95520292500991,0.8405790173929089,6000.0
0.8,isotropic_social_force,bi_corr_400_b_06,0.21477532524999535,0.15024088261565105,0.07583757309862611,23.729928491355295,0.686017151741198,6000.0
0.8,isotropic_social_force,bi_corr_400_b_10,0.21047978528286493,0.14663274931821815,0.06616163036231527,20.80576711479868,0.7806527369715113,6000.0
0.8,anisotropic_geometry,bi_corr_400_a_03,0.20355253576401933,0.14118579366698977,0.0664755453339798,22.746537504661344,0.7747570232303576,6000.0
0.8,anisotropic_geometry,bi_corr_400_b_02,0.17714859433373945,0.11339679548775482,0.07822520018015405,3.4278629820965554,0.9798925820491005,4248.0
0.8,anisotropic_geometry,bi_corr_400_b_04,0.20365497484396117,0.1408814815052833,0.07381964103134273,15.89456328508123,0.8572155572749097,6000.0
0.8,anisotropic_geometry,bi_corr_400_b_06,0.20254917432138553,0.14099203861787554,0.07482202834481823,22.50835514551714,0.7207468322443656,6000.0
0.8,anisotropic_geometry,bi_corr_400_b_10,0.20002687089945548,0.1395125760078312,0.06799986050048279,19.442398157789818,0.8018983385235336,6000.0
0.8,decoupled_geometry,bi_corr_400_a_03,0.2035013864534907,0.14092512756983233,0.06471523899928147,22.748056208480303,0.7748702085110106,6000.0
0.8,decoupled_geometry,bi_corr_400_b_02,0.17091028132768935,0.1059292269564634,0.06256463601999025,3.4278629820966087,0.9812838178939252,4248.0
0.8,decoupled_geometry,bi_corr_400_b_04,0.20298024394918465,0.1399834304477376,0.07251360268196327,15.89456328508123,0.8581601104898599,6000.0
0.8,decoupled_geometry,bi_corr_400_b_06,0.2045262338731338,0.141754609979633,0.07069107688538,22.626779065008055,0.7152687093341195,6000.0
0.8,decoupled_geometry,bi_corr_400_b_10,0.1960651508926654,0.1358655153708108,0.06258160820937375,19.442398157789818,0.8096678070033543,6000.0
0.8,tensor_geometry,bi_corr_400_a_03,0.16599816536398565,0.11438335153122813,0.06820005077771832,17.048291386179557,0.8502024188588913,6000.0
0.8,tensor_geometry,bi_corr_400_b_02,0.19869662087663503,0.11744884386083686,0.06867711727112566,3.5127837806192375,0.9747034178681739,4248.0
0.8,tensor_geometry,bi_corr_400_b_04,0.18121087374253114,0.12261961219308129,0.07735958587486043,12.85355770215056,0.8869529190038253,6000.0
0.8,tensor_geometry,bi_corr_400_b_06,0.17115153436761277,0.11784691953876342,0.07634047086860085,17.746459136878915,0.800612123614836,6000.0
0.8,tensor_geometry,bi_corr_400_b_10,0.1582587383830802,0.10965773296613619,0.0635229907240886,14.462672715764999,0.8759928192269991,6000.0
