calibration_runs,subset,training_run_names,maximum_samples_per_training_run,dataset,run,model,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_d_6,gel_ped,0.34336632639611087,0.11696974610934503,0.17597802999267378,11.63677146392019,0.8524279395485214,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_d_7,direct_network,0.4030296431565625,0.13286660210045131,0.2186129779210684,14.138851336310683,0.7707027573678309,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_d_7,gel_ped,0.3744182162491677,0.1247092972868144,0.1908643018235651,13.895696716253006,0.8021031907220444,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_d_8,direct_network,0.4007823948696587,0.13068013863647374,0.2211147640175428,15.345285868280284,0.7588150482347723,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_d_8,gel_ped,0.3699755622446367,0.12203605883322857,0.19303309949553601,15.414252498580714,0.7944682060297704,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_1,direct_network,0.39696201619120214,0.1353979648770973,0.22538380482218512,10.831829093819957,0.839098492354577,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_1,gel_ped,0.3614793074708887,0.12302047052611692,0.18218298077784337,10.858611918889324,0.8665774947273603,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_2,direct_network,0.42765577431893803,0.14475177955357554,0.23720464130521365,12.840419230363288,0.81006560878112,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_2,gel_ped,0.3948165467631644,0.13384159523709613,0.1965939705915758,13.017534065780618,0.8381153689879648,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_3,direct_network,0.42408074490963515,0.14450277640543038,0.233707703398583,12.480594714792254,0.7868273167326082,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_3,gel_ped,0.3981690175001902,0.1360956142046674,0.20411293480589043,12.328852847821661,0.8120815720381627,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_4,direct_network,0.41467095480869376,0.13918378434345632,0.2114280212014772,17.276825249144352,0.7445077678401485,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_4,gel_ped,0.3914516612621434,0.1322154654610326,0.18643122503328732,17.310462764161894,0.7723190220557543,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_5,direct_network,0.41842527567047294,0.13896631993558844,0.211979965906801,19.4772947222336,0.6914622805000665,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_5,gel_ped,0.3988935212586701,0.13372666276925543,0.19307006841743665,19.114430409154,0.7195945769552077,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_6,direct_network,0.43486812526677404,0.14146591705497755,0.23076834015284442,16.558372529211503,0.7338220560558353,6000.0
2,20,bi_corr_400_b_05;bi_corr_400_b_09,750,crossing external,crossing_90_e_6,gel_ped,0.40069186750446795,0.13193344528751152,0.1991439074529131,16.330102000445322,0.7740158551880572,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_a_03,direct_network,0.19552584868794748,0.06635947828141364,0.08763136569720797,15.641993266116126,0.835778790529659,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_a_03,gel_ped,0.18886236924273472,0.06393191870920754,0.08402443552439354,15.161314105527993,0.8467813067346499,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_02,direct_network,0.24640236318852465,0.08219265800557052,0.11435907754237071,5.644405506309634,0.9615588122022048,4507.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_02,gel_ped,0.23954643735395287,0.08022425129387245,0.09530424597964245,6.044402968134075,0.963668235247894,4507.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_04,direct_network,0.20868455205883224,0.0705133627553127,0.09401283379719239,13.367212030344922,0.8646581136359739,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_04,gel_ped,0.2027983184936407,0.06849728304600557,0.08863385865651721,13.354524777774312,0.8721854422156968,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_06,direct_network,0.20710140646378708,0.0704591527790583,0.0932510332494168,17.550718782845863,0.7868100771402107,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_06,gel_ped,0.20345551361789643,0.06884966147857012,0.08970907723117444,16.78885029614509,0.7942501613834526,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_10,direct_network,0.18409341570536258,0.062337392030637984,0.0792177358004466,14.05939686232509,0.856666134054602,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,corridor held-out,bi_corr_400_b_10,gel_ped,0.17902537277815636,0.060347391325348325,0.07664865738770618,13.483240039719096,0.8644493899380346,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_a_04,direct_network,0.2049517065516089,0.06869807806668066,0.09017250536111451,18.10661646799186,0.7680317163224852,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_a_04,gel_ped,0.19812497511200364,0.06642649787227095,0.0867580837753792,17.35465337086472,0.7832276022334823,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_a_05,direct_network,0.1921894410999179,0.0654534049915283,0.0831752010184005,17.865418173812383,0.7667061771542119,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_a_05,gel_ped,0.18663150119049807,0.0633990837843923,0.08145784820412778,17.239276604829556,0.7800043513964942,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_b_08,direct_network,0.19634979222639573,0.06666692768257486,0.08916603147968184,18.406769094054958,0.7371837626118611,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,altered geometry,bi_corr_400_b_08,gel_ped,0.19126498721185814,0.064895576400173,0.08661724761416169,17.926756009158005,0.7506196369434636,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_1,direct_network,0.4331657976134469,0.14786371059156855,0.27891240740880696,8.23656092751322,0.8503376153528356,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_1,gel_ped,0.3768744431432548,0.13046964869399713,0.20700229351960162,9.198898794102831,0.8867083972780708,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_2,direct_network,0.4781462322812456,0.1671246430851755,0.34136007812633584,6.390597850897456,0.8580228554911571,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_2,gel_ped,0.4034718075222325,0.13994787714946028,0.23160663253223618,7.907847415068144,0.8989064728853138,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_3,direct_network,0.45298834845830177,0.16020813729703987,0.3225115678983895,5.707140547824229,0.8711881158786827,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_3,gel_ped,0.3924277628722639,0.13744910241365602,0.2191348436952076,6.803751318685619,0.9033278630247141,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_5,direct_network,0.39984336355372263,0.13733420617149053,0.24087291441043232,8.269301207457595,0.8483132123274147,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_5,gel_ped,0.3703047887492115,0.1276943927544446,0.19727205744157672,9.169301169691996,0.8698972050096885,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_6,direct_network,0.36427719623481886,0.12420566935301763,0.20654188464407328,11.32703218797008,0.8339064730073135,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_6,gel_ped,0.34796509413125454,0.11914923371765414,0.17667277206665147,11.913891640221806,0.8484485495109363,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_7,direct_network,0.37663925582298363,0.1269331870186783,0.20832579180273983,13.611018113207532,0.799748389133631,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_7,gel_ped,0.35700393596863633,0.12132532160903518,0.17962077828993037,14.387100585608202,0.8200835552297786,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_8,direct_network,0.3829426110441324,0.12666883314268065,0.21336989109502766,14.707060744229276,0.7798086148041083,6000.0
2,21,bi_corr_400_b_07;bi_corr_400_b_09,750,crossing external,crossing_90_d_8,gel_ped,0.35912481022855475,0.11994924364276748,0.18543843263995657,15.049991697795043,0.8063472118078147,6000.0
