dataset,model,parameters,vector_rmse_mps,sem_vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,false_contact_rate
calibration,gel_ped,10382,0.1783357773297806,0.0054717145442926465,0.06069989850108426,0.07083354172903941,9.889671198787383,0.9197275333698769,0.0037709470687453035
corridor held-out,constant_velocity,0,0.23152649726568372,0.00363099493505202,0.08062802111991144,0.08147745703189159,18.4728657630513,0.8114040764094257,0.007865204330689352
corridor held-out,social_force,4,0.2246201105883828,0.0030326237557851215,0.07871825743413277,0.08457908827562746,17.21040850964665,0.824046097096379,0.006967656092520265
corridor held-out,isotropic_constrained,4,0.2246201105596596,0.003032623739271647,0.07871825744441992,0.08457908824916169,17.210408461733213,0.8240460971534038,0.006967656092520265
corridor held-out,isotropic_unconstrained,4,0.2246201105596596,0.003032623739271647,0.07871825744441992,0.08457908824916169,17.210408461733213,0.8240460971534038,0.006967656092520265
corridor held-out,shared_goal_frame,6,0.22000370193504323,0.0033772370835623336,0.0764204299341691,0.08329849403845926,16.801294289098458,0.8303807532777812,0.00655676903952696
corridor held-out,decoupled_scalar_geometry,8,0.22065163211562572,0.004383293457688976,0.07637695393078398,0.07829762638414497,16.818013354828526,0.8277991107733099,0.006572284105222319
corridor held-out,tensor_persistence_only,2,0.21374019811982,0.004075524487465245,0.0730141172669947,0.08928455373033488,16.335312547953514,0.8413564814098227,0.005950342877565308
corridor held-out,tensor_no_isotropic,8,0.2112017258007838,0.003825902923662151,0.07185429081979068,0.08622364488763387,15.491513065336472,0.8460668502876671,0.00579005500118491
corridor held-out,tensor_no_forward,8,0.21127113836623015,0.0038606033139059978,0.07192578627952435,0.08648346924406068,15.27103374259624,0.8463322076405729,0.005927651534752607
corridor held-out,tensor_no_closing,8,0.21190748419721084,0.003972727367374007,0.0723357135729709,0.08659243784987083,16.030733228111863,0.8443786594432415,0.005691541181164251
corridor held-out,tensor_no_wall,9,0.21065626364701995,0.0037950029563297767,0.07163041511254753,0.08623321833632826,15.263698224945268,0.8473650877453199,0.005885711717904503
corridor held-out,tensor_response,10,0.2105094598077414,0.00379301097353064,0.07158310580708617,0.08618058002817149,15.220796949593359,0.8475541682537063,0.0058726278503132435
corridor held-out,tensor_without_cap,10,0.2105094598077414,0.00379301097353064,0.07158310580708617,0.08618058002817149,15.220796949593359,0.8475541682537063,0.0058726278503132435
corridor held-out,unrestricted_ten_scalar,22,0.21060980295134435,0.00476593379749706,0.07128663780445368,0.08647725163995179,14.930812416713895,0.8485774458942499,0.005569223115353002
corridor held-out,invariant_ridge,26,0.2091812024945113,0.00473550494370241,0.07086849625579442,0.08612205851585807,14.887629625202118,0.8511006496470112,0.0056427847501200066
corridor held-out,interaction_mlp,5122,0.18189476065228177,0.005498538405789783,0.06159133082296656,0.07504484373814291,11.759388058550808,0.8886805713863015,0.004720580693011432
corridor held-out,goal_stable_neural,5122,0.18222661747311875,0.005487423114263805,0.061690821121339126,0.07553102541395641,11.830975173236855,0.8882230336840753,0.004651766984680034
corridor held-out,tensor_residual,5260,0.19085831972920522,0.0057337111978973485,0.06443024252548589,0.07727854266174589,12.454563537100222,0.8776880841499761,0.005013702679544555
corridor held-out,tensor_residual_ungated,5260,0.1875603211382019,0.005843813646999635,0.06358659944743829,0.07516556793217077,12.319625658270024,0.8826749684794704,0.0050229871337650455
corridor held-out,gel_ped,10382,0.18377178113391632,0.005565370805772917,0.062160100294688866,0.07520896457698475,11.997212715395941,0.8865222378485189,0.004913359542106393
altered geometry,constant_velocity,0,0.22908795853135225,0.0011985041200895097,0.07906930264270844,0.08524109806318851,25.0680069038212,0.67333469406866,0.010285824983138743
altered geometry,social_force,4,0.22272909078113198,0.0022396292299082105,0.07750884328570463,0.08522407181261894,23.336231268591817,0.6913074539461684,0.009334288042225658
altered geometry,isotropic_constrained,4,0.22272909069706204,0.0022396291786084244,0.07750884327211198,0.08522407171789857,23.336231118711478,0.6913074541772358,0.009334288042225658
altered geometry,isotropic_unconstrained,4,0.22272909069706204,0.0022396291786084244,0.07750884327211198,0.08522407171789857,23.336231118711478,0.6913074541772358,0.009334288042225658
altered geometry,shared_goal_frame,6,0.21958445836114557,0.003144125638468585,0.07571500870947177,0.08730568442874857,23.023334687731964,0.7002044545586413,0.00872809819778578
altered geometry,decoupled_scalar_geometry,8,0.22203473738281077,0.0033602229140362156,0.07628913303513475,0.08201169867948033,23.132749373347593,0.6934188765893464,0.009275369051020605
altered geometry,tensor_persistence_only,2,0.2091319089743878,0.003004177963229397,0.07163044796640754,0.09181813497841489,22.809130403042357,0.7282930522149607,0.008452905614099745
altered geometry,tensor_no_isotropic,8,0.20618704147263867,0.0033611539736411416,0.07035524617803783,0.08953162355434091,21.06968638063886,0.7359865195398237,0.008059418770153938
altered geometry,tensor_no_forward,8,0.20623883322177686,0.003389499578854579,0.07043721383585172,0.08789533156011124,20.958082311488624,0.7358197820222107,0.008042476254208187
altered geometry,tensor_no_closing,8,0.20775763042599607,0.003541588113551662,0.07118679130385888,0.09068575030024728,22.163575690886532,0.7318676346237485,0.007757795741238833
altered geometry,tensor_no_wall,9,0.20560396949035664,0.003257831311850082,0.07016383115422449,0.08952682135995212,20.749885130117686,0.7374440528067274,0.007825395277494264
altered geometry,tensor_response,10,0.20545135644940196,0.003450482826172483,0.07010596980747552,0.08945503540776006,20.66373517179672,0.737857972376457,0.007870904641045813
altered geometry,tensor_without_cap,10,0.20545135644940196,0.003450482826172483,0.07010596980747552,0.08945503540776006,20.66373517179672,0.737857972376457,0.007870904641045813
altered geometry,unrestricted_ten_scalar,22,0.20540580500002148,0.004088245136133576,0.0699001378562011,0.08907270083552216,20.475524349831243,0.737516877354962,0.007611077508534307
altered geometry,invariant_ridge,26,0.2032214760268752,0.0038098446850750017,0.06914691239455968,0.08857294354669283,20.34921871499483,0.7431407190151091,0.0077137205672974584
altered geometry,interaction_mlp,5122,0.17982170287303934,0.0025712957080036057,0.06097128476654284,0.07955719144123302,16.14512621009348,0.7985974746155394,0.006761168010929204
altered geometry,goal_stable_neural,5122,0.18078131084919638,0.0029344671867745217,0.06124781232347947,0.08078947687365429,16.291556363992196,0.7963655118033156,0.006606225511023966
altered geometry,tensor_residual,5260,0.1875860247973075,0.002742649438367999,0.06354379411558289,0.08057365015458333,17.198470096046332,0.781033205493107,0.007296852236198641
altered geometry,tensor_residual_ungated,5260,0.1852332580940549,0.0020179307341535663,0.06295479428615493,0.07901445155358883,17.030098498433546,0.7864988818102088,0.0072694061755144
altered geometry,gel_ped,10382,0.1806961141739941,0.002423239343699237,0.06125017056830969,0.07907615143794555,16.46313058822607,0.7966882631803296,0.006801529717722625
crossing external,constant_velocity,0,0.4126954378500812,0.004441046952837458,0.14281387363581663,0.1557028482456636,16.35982461296861,0.7993366932050806,0.016047177983067238
crossing external,social_force,4,0.39909291099150246,0.003435512440313384,0.13877955636000755,0.1625358187683802,15.604136894770196,0.8134145856934462,0.014585713466166864
