dataset,run,model,parameters,speed_cap_mps,vector_rmse_mps,displacement_mae_m,speed_mae_mps,median_angle_deg,vector_r2,samples,predicted_contact_rate,false_contact_rate,compared_pairs
crossing external,crossing_90_d_3,tensor_persistence_only,2,100.0,0.3274205813584125,0.11159158595963557,0.15903214022716974,5.631132771994439,0.9327032919552766,6000.0,0.01193058568329718,0.009916330957545709,12908.0
crossing external,crossing_90_d_3,tensor_no_isotropic,8,100.0,0.3267220217606882,0.11132342603043499,0.161668538651967,5.597651927656633,0.9329901438802007,6000.0,0.011698171676479702,0.009683916950728231,12908.0
crossing external,crossing_90_d_3,tensor_no_forward,8,100.0,0.32577609322800194,0.11071367475836064,0.15832726042690112,5.596813758656701,0.9333775972627503,6000.0,0.011620700340873877,0.009606445615122404,12908.0
crossing external,crossing_90_d_3,tensor_no_closing,8,100.0,0.3278720986283075,0.11193851812788774,0.1624926176382086,5.629467206158652,0.9325175578951197,6000.0,0.01154322900526805,0.009528974279516579,12908.0
crossing external,crossing_90_d_3,tensor_no_wall,9,100.0,0.3274126299178509,0.11147622563090615,0.16220187343887546,5.592546425861551,0.9327065605297458,6000.0,0.011698171676479702,0.009683916950728231,12908.0
crossing external,crossing_90_d_3,tensor_response,10,100.0,0.32744145367711863,0.11151044644704702,0.16216176613566935,5.608193012921698,0.9326947116570949,6000.0,0.011698171676479702,0.009683916950728231,12908.0
crossing external,crossing_90_d_3,tensor_without_cap,10,100.0,0.32744145367711863,0.11151044644704702,0.16216176613566935,5.608193012921698,0.9326947116570949,6000.0,0.011698171676479702,0.009683916950728231,12908.0
crossing external,crossing_90_d_3,unrestricted_ten_scalar,22,100.0,0.32762841447773516,0.11137968100427167,0.1602202061886125,5.624951261751331,0.9326178304750136,6000.0,0.01100092965602727,0.008986674930275797,12908.0
crossing external,crossing_90_d_3,invariant_ridge,26,100.0,0.3307569760448169,0.1127496446380933,0.16505775194039018,5.683790510220266,0.9313248059537244,6000.0,0.011233343662844748,0.00914161760148745,12908.0
crossing external,crossing_90_d_3,interaction_mlp,18434,100.0,0.36463845408124124,0.1267995189023344,0.20368795379044077,5.974094476916749,0.9165345377415154,6000.0,0.010768515649209793,0.008986674930275797,12908.0
